"esr_region","year2","meansst","anomaly"
"Central Aleutians",1989,5.48452054794521,-0.175076966619132
"Central Aleutians",1990,5.64090410958904,-0.0186934049752967
"Central Aleutians",1991,5.88969863013699,0.230101115572649
"Central Aleutians",1992,5.36658469945355,-0.293012815110786
"Central Aleutians",1993,5.52449315068493,-0.135104363879406
"Central Aleutians",1994,5.62147945205479,-0.0381180625095432
"Central Aleutians",1995,5.63419178082192,-0.0254057337424198
"Central Aleutians",1996,5.99426229508197,0.334664780517629
"Central Aleutians",1997,5.97435616438356,0.314758649819224
"Central Aleutians",1998,5.34131506849315,-0.318282446071187
"Central Aleutians",1999,4.96556164383562,-0.694035870728722
"Central Aleutians",2000,4.9729781420765,-0.686619372487835
"Central Aleutians",2001,5.09569863013699,-0.563898884427351
"Central Aleutians",2002,5.26361643835616,-0.395981076208173
"Central Aleutians",2003,5.83484931506849,0.175251800504156
"Central Aleutians",2004,5.73997267759563,0.0803751630312908
"Central Aleutians",2005,5.69786301369863,0.038265499134293
"Central Aleutians",2006,5.79408219178082,0.134484677216484
"Central Aleutians",2007,5.64180821917808,-0.0177892953862555
"Central Aleutians",2008,5.60535519125683,-0.0542423233075073
"Central Aleutians",2009,5.53112328767123,-0.128474226893105
"Central Aleutians",2010,5.33630136986301,-0.323296144701324
"Central Aleutians",2011,5.73383561643836,0.0742381018740188
"Central Aleutians",2012,5.43185792349727,-0.22773959106707
"Central Aleutians",2013,5.68531506849315,0.0257175539288133
"Central Aleutians",2014,5.97635616438356,0.316758649819224
"Central Aleutians",2015,5.99287671232877,0.33327919776443
"Central Aleutians",2016,6.04729508196721,0.387697567402876
"Central Aleutians",2017,6.09290410958904,0.433306595024703
"Central Aleutians",2018,6.0772602739726,0.417662759408265
"Central Aleutians",2019,6.24504109589041,0.585443581326073
"Central Aleutians",2020,6.06281420765027,0.403216693085936
"Central Aleutians",2021,5.47003144654088,-0.189566068023457
"Eastern Aleutians",1986,6.31693150684931,0.226334564689387
"Eastern Aleutians",1987,6.406,0.315403057840072
"Eastern Aleutians",1988,5.89270491803279,-0.197892024127141
"Eastern Aleutians",1989,5.91043835616438,-0.180158585995544
"Eastern Aleutians",1990,5.96421917808219,-0.126377764077736
"Eastern Aleutians",1991,6.15098630136986,0.0603893592099354
"Eastern Aleutians",1992,5.92374316939891,-0.16685377276102
"Eastern Aleutians",1993,6.10449315068493,0.0138962085250043
"Eastern Aleutians",1994,6.10043835616438,0.00984141400445626
"Eastern Aleutians",1995,6.01084931506849,-0.0797476270914341
"Eastern Aleutians",1996,6.3879781420765,0.297381199916575
"Eastern Aleutians",1997,6.37191780821918,0.281320866059251
"Eastern Aleutians",1998,5.82115068493151,-0.26944625722842
"Eastern Aleutians",1999,5.36693150684931,-0.723665435310613
"Eastern Aleutians",2000,5.43756830601093,-0.653028636148998
"Eastern Aleutians",2001,5.85131506849315,-0.239281873666777
"Eastern Aleutians",2002,5.73498630136986,-0.355610640790064
"Eastern Aleutians",2003,6.24934246575342,0.158745523593497
"Eastern Aleutians",2004,6.31631147540984,0.225714533249908
"Eastern Aleutians",2005,6.26731506849315,0.176718126333223
"Eastern Aleutians",2006,6.1358904109589,0.0452934687989766
"Eastern Aleutians",2007,5.8193698630137,-0.271227079146229
"Eastern Aleutians",2008,5.72803278688525,-0.362564155274682
"Eastern Aleutians",2009,5.74928767123288,-0.34130927092705
"Eastern Aleutians",2010,5.76728767123288,-0.323309270927051
"Eastern Aleutians",2011,5.90945205479452,-0.181144887365407
"Eastern Aleutians",2012,5.51852459016393,-0.572072351995993
"Eastern Aleutians",2013,5.84756164383562,-0.243035298324311
"Eastern Aleutians",2014,6.4461095890411,0.355512646881168
"Eastern Aleutians",2015,6.52178082191781,0.431183879757881
"Eastern Aleutians",2016,6.67010928961749,0.579512347457559
"Eastern Aleutians",2017,6.47838356164384,0.387786619483908
"Eastern Aleutians",2018,6.47021917808219,0.379622235922264
"Eastern Aleutians",2019,7.02567123287671,0.935074290716785
"Eastern Aleutians",2020,6.73491803278689,0.644321090626958
"Eastern Aleutians",2021,5.85327044025157,-0.237326501908355
